date,temp_max,temp_min,precipitation,sunshine_hours,wind_speed,weather_code,apparent_temp_max,uv_index_max
2020-11-01,14.8,11.0,2.8,6.360211111111111,23.3,55,12.7,
2020-11-02,18.6,12.7,8.1,1.2319083333333334,32.1,63,15.8,
2020-11-03,11.9,7.7,0.0,8.21268888888889,25.6,2,8.3,
2020-11-04,10.9,7.1,0.1,8.124336111111111,27.0,51,6.9,
2020-11-05,10.7,6.4,0.0,4.724466666666667,24.5,3,6.8,
2020-11-06,13.3,10.2,0.4,4.3819333333333335,19.0,51,12.0,
2020-11-07,11.2,5.4,0.0,8.050219444444444,14.4,3,10.0,
2020-11-08,10.4,4.0,0.0,7.810297222222222,12.9,3,8.6,
2020-11-09,7.3,4.7,0.0,1.5741833333333335,11.8,3,4.7,
2020-11-10,6.3,5.2,0.0,0.26881666666666665,13.5,3,3.4,
2020-11-11,6.8,4.1,0.2,0.0,12.0,51,4.5,
2020-11-12,9.1,6.2,2.5,0.2711972222222222,19.1,55,6.1,
2020-11-13,10.6,6.7,1.0,8.0,14.8,51,8.2,
2020-11-14,12.1,9.7,0.5,0.05310555555555556,17.0,51,10.8,
2020-11-15,14.5,10.0,1.2,7.144152777777778,28.0,53,11.6,
2020-11-16,12.6,8.4,5.3,4.672391666666667,29.6,61,8.3,
2020-11-17,12.2,8.1,0.3,0.0,23.9,51,9.0,
2020-11-18,12.2,9.7,0.1,4.3040972222222225,26.0,51,9.0,
2020-11-19,12.8,4.4,0.8,5.087586111111111,37.2,51,8.3,
2020-11-20,6.7,2.6,0.0,7.979036111111111,19.4,3,2.5,
2020-11-21,9.0,3.1,1.1,0.0,30.5,53,4.3,
2020-11-22,9.9,7.5,2.6,6.191488888888889,28.7,53,5.4,
2020-11-23,9.0,6.2,0.1,7.824908333333333,21.8,51,4.9,
2020-11-24,9.0,4.7,0.0,4.65075,24.0,3,4.7,
2020-11-25,6.0,2.6,0.0,6.131372222222222,14.8,3,2.7,
2020-11-26,9.6,3.4,0.2,2.4952527777777775,18.1,51,6.9,
2020-11-27,4.9,1.0,0.0,1.2800083333333332,7.6,3,3.4,
2020-11-28,4.0,1.3,0.0,0.5901638888888889,13.8,3,1.0,
2020-11-29,4.3,1.8,0.2,2.908486111111111,13.7,51,1.4,
2020-11-30,3.0,1.5,1.4,0.9841361111111111,18.6,71,-1.0,
2020-12-01,4.3,2.0,2.5,0.0,18.8,51,1.5,
2020-12-02,2.6,-0.9,0.0,6.821611111111111,12.7,3,-0.5,
2020-12-03,1.0,-1.6,0.1,0.0,21.6,71,-4.5,
2020-12-04,2.2,-0.8,0.0,0.0,25.8,3,-2.5,
2020-12-05,3.2,0.1,0.9,1.3098611111111111,17.1,71,-0.3,
2020-12-06,6.7,0.6,0.0,0.13655,21.2,3,3.7,
2020-12-07,8.3,3.5,0.1,0.12297222222222222,22.3,51,4.1,
2020-12-08,5.8,1.7,0.0,5.130725,12.9,3,3.2,
2020-12-09,2.7,0.7,0.8,0.0,12.6,51,0.0,
2020-12-10,2.8,0.7,1.6,0.0,13.4,71,0.1,
2020-12-11,1.7,0.4,0.7,0.8181694444444444,19.3,71,-2.8,
2020-12-12,3.4,0.8,0.6,0.0,18.8,51,-0.5,
2020-12-13,2.7,-0.3,0.0,0.0,11.7,3,-0.6,
2020-12-14,7.4,2.9,1.5,0.0,22.4,55,4.2,
2020-12-15,8.2,5.4,2.9,1.4161277777777779,16.3,53,5.2,
2020-12-16,7.8,5.5,0.0,2.305441666666667,20.9,3,5.7,
2020-12-17,8.8,6.3,1.0,0.0,23.3,53,5.3,
2020-12-18,8.1,4.6,0.0,6.688516666666667,19.4,3,4.3,
2020-12-19,7.6,3.2,0.0,6.686994444444444,20.4,3,3.5,
2020-12-20,8.0,6.2,0.9,0.0,18.2,51,4.1,
2020-12-21,7.1,5.0,0.6,6.815125,23.8,51,3.8,
2020-12-22,11.0,5.9,10.8,0.22204444444444446,24.7,61,7.7,
2020-12-23,5.8,2.5,15.1,1.9213583333333335,18.5,63,3.6,
2020-12-24,5.7,2.1,16.9,0.8301805555555556,23.6,73,2.7,
2020-12-25,3.1,-1.0,0.0,6.858386111111111,15.2,2,-0.9,
2020-12-26,3.4,-2.4,0.5,0.0,29.2,51,-2.0,
2020-12-27,4.7,2.2,3.8,0.0,36.1,53,-2.2,
2020-12-28,3.2,0.4,1.4,1.827852777777778,26.9,51,-0.5,
2020-12-29,3.9,0.8,7.1,3.7016722222222223,19.9,73,0.2,
2020-12-30,4.1,2.0,2.6,0.42940555555555554,25.1,53,-0.6,
2020-12-31,4.5,1.7,0.5,0.0,22.2,51,-0.2,
2021-01-01,3.0,0.9,1.6,2.3742,13.5,71,-0.2,
2021-01-02,4.1,2.7,4.7,0.0,14.0,53,2.0,
2021-01-03,4.3,2.2,0.6,2.290763888888889,33.8,51,0.6,
2021-01-04,4.4,2.6,3.9,0.2168111111111111,33.9,53,-2.2,
2021-01-05,4.2,2.4,5.7,0.0,28.3,53,-0.9,
2021-01-06,2.5,1.0,7.0,0.0,23.7,73,-2.1,
2021-01-07,2.4,0.7,4.2,0.0,10.2,73,-0.5,
2021-01-08,1.8,0.2,4.3,0.0,17.8,71,-1.7,
2021-01-09,2.9,-0.0,1.6,4.530877777777778,14.7,51,-0.3,
2021-01-10,2.2,-1.1,0.6,4.0,21.4,51,-2.8,
2021-01-11,3.6,2.2,3.3,0.0,31.9,53,-1.0,
2021-01-12,5.8,0.5,7.5,4.919666666666666,32.1,71,0.9,
2021-01-13,3.7,0.1,3.9,1.5400333333333334,36.1,73,-2.8,
2021-01-14,2.5,-0.3,1.6,4.412999999999999,34.6,73,-1.8,
2021-01-15,0.3,-1.6,0.2,1.6967805555555555,17.9,71,-3.6,
2021-01-16,-0.1,-3.2,0.0,5.8374194444444445,15.3,3,-4.2,
2021-01-17,-0.2,-5.1,0.0,6.719786111111111,13.4,3,-4.5,
2021-01-18,3.7,-3.0,4.4,0.0,22.3,71,-0.9,
2021-01-19,6.8,1.6,11.4,0.0,22.0,73,3.5,
2021-01-20,9.0,5.7,3.3,0.0,27.5,53,4.2,
2021-01-21,10.0,5.3,0.2,4.0,36.9,51,3.1,
2021-01-22,8.4,3.6,4.3,6.35293888888889,34.0,55,2.6,
2021-01-23,4.5,0.4,0.0,2.711316666666667,19.3,3,1.1,
2021-01-24,2.7,-1.6,1.5,0.0,9.7,71,-0.6,
2021-01-25,2.5,-0.7,1.8,5.095488888888888,13.4,73,-1.2,
2021-01-26,3.6,-2.5,0.0,7.795638888888889,23.1,3,-1.4,
2021-01-27,3.7,-0.2,0.2,4.632555555555555,18.9,51,-1.0,
2021-01-28,1.9,-2.0,0.0,4.5472,14.8,3,-1.9,
2021-01-29,0.2,-2.8,1.9,0.018838888888888888,18.9,73,-3.7,
2021-01-30,0.9,-4.2,1.8,8.057441666666668,20.7,73,-2.7,
